cmpd,G,H,S,T
CaAl2O4,-0.474190807,0.267933728,0.0005300883185714,1400
CaAl2O4,-0.528143235,0.295015065,0.0005487722,1500
CaAl2O4,-0.583909712,0.322314942,0.000566390038125,1600
CaAl2O4,-0.641389705,0.349812924,0.0005830602835294,1700
CaAl2O4,-0.700493489,0.377491098,0.000598880655,1800
FeAl2O4,-0.047502128,0.000342022,0.0001594800066666,300
FeAl2O4,-0.066434161,0.020784726,0.0002180472175,400
FeAl2O4,-0.090878967,0.043975896,0.000269710318,500
FeAl2O4,-0.120163608,0.068841049,0.000315008255,600
FeAl2O4,-0.15370324,0.094786458,0.00035498486,700
FeAl2O4,-0.191015628,0.121468622,0.0003906054975,800
FeAl2O4,-0.231705298,0.148677589,0.0004226474877777,900
FeAl2O4,-0.275446368,0.17627729,0.000451723806,1000
FeAl2O4,-0.321967145,0.204176519,0.000478312690909,1100
FeAl2O4,-0.371038577,0.232311166,0.0005027917,1200
FeAl2O4,-0.422465224,0.260634888,0.000525461396923,1300
FeAl2O4,-0.476078739,0.289113482,0.0005465660835714,1400
FeAl2O4,-0.531732838,0.317720889,0.000566302682,1500
FeAl2O4,-0.589299151,0.346437122,0.000584835540625,1600
FeAl2O4,-0.648664411,0.375246189,0.0006023008758823,1700
FeAl2O4,-0.709727493,0.404135358,0.000618812695,1800
MgAl2O4,-0.037549878,0.000318184,0.0001262268733333,300
MgAl2O4,-0.0529425,0.019264579,0.0001805180675,400
MgAl2O4,-0.073428882,0.040644364,0.000228146492,500
MgAl2O4,-0.098378134,0.063600115,0.0002699635033333,600
MgAl2O4,-0.127264638,0.08767995,0.0003070632742857,700
MgAl2O4,-0.1596639,0.112613656,0.0003403475,800
MgAl2O4,-0.195230051,0.13822415,0.0003705046677777,900
MgAl2O4,-0.233678366,0.164388247,0.000398066317,1000
MgAl2O4,-0.274770616,0.191016664,0.0004234425781818,1100
MgAl2O4,-0.318304992,0.218041739,0.0004469562258333,1200
MgAl2O4,-0.364108263,0.245410612,0.0004688604446153,1300
MgAl2O4,-0.412030441,0.27308153,0.0004893654821428,1400
MgAl2O4,-0.461940494,0.301020588,0.0005086401293333,1500
MgAl2O4,-0.51372234,0.329199802,0.00052682652375,1600
MgAl2O4,-0.567273373,0.357595777,0.0005440401541176,1700
MgAl2O4,-0.622501499,0.386188675,0.0005603831833333,1800
ZnAl2O4,-0.039040413,0.000329585,0.0001312328333333,300
